model_number,star_age,star_mass,log_L,log_R,log_Teff,log_center_Rho,log_center_P,center_h1,center_he3,center_he4,star_mdot
959,12282447751.569143,0.9983837318538493,1.437264523991726,0.9276077914141146,3.6571416535171877,5.241830224366285,21.241582026218975,0.0,0.0,0.9800605473369655,-9.236047122400322e-12
960,12282638883.643942,0.9983819577935173,1.4384441269724713,0.9283219720999217,3.6570794639194704,5.242278747468635,21.24229641956266,0.0,0.0,0.9800605470969943,-9.281855668966797e-12
961,12282827985.286062,0.9983801949057408,1.4397449960035322,0.9291122479373235,3.657009543258535,5.242719924970454,21.242998937102968,0.0,0.0,0.9800605468592285,-9.322435050734712e-12
962,12283016005.90869,0.9983784336323878,1.4410406747266085,0.9298997686123577,3.6569397026017865,5.243159766577526,21.24369929370682,0.0,0.0,0.9800605466224848,-9.367447721741343e-12
963,12283203686.47395,0.9983766670880325,1.442136599699465,0.9309378176211275,3.6566946593406158,5.243598120030712,21.24439717539249,0.0,0.0,0.980060546385833,-9.412505513318553e-12
964,12283391049.742838,0.998374894840253,1.4435763966400503,0.93179859552245,3.656624219625101,5.244034312483344,21.24509148287228,0.0,0.0,0.9800605461492453,-9.45888588478882e-12
965,12283577570.388535,0.9983731211889512,1.4449162774677184,0.9325989474167924,3.656559013884847,5.244468622259709,21.245782717161998,0.0,0.0,0.9800605459133825,-9.509141978742838e-12
966,12283762829.987364,0.9983713508229718,1.44623192469844,0.9333845233891638,3.6564951377063415,5.244900855612431,21.24647060096337,7.223586216965079e-41,1.2925729890620383e-46,0.9800605456787835,-9.556136312239292e-12
967,12283947420.797134,0.9983695782896657,1.4475368358959428,0.9341633235739847,3.656431965413306,5.2453313423491155,21.2471556189817,0.0,7.708765301019682e-45,0.980060545444703,-9.602500299326155e-12
968,12284131432.921814,0.998367802811844,1.4488007259542026,0.9349170027097823,3.656371098359973,5.245760881463128,21.247839065798715,0.0,0.0,0.9800605452110243,-9.648700186731086e-12
969,12284314310.453115,0.9983660300618042,1.4500243044851784,0.9356482094567454,3.656311389619235,5.246186750251131,21.248516554239874,0.0,0.0,0.9800605449784612,-9.693645945806376e-12
970,12284496050.762316,0.9983642603849434,1.451280310138495,0.9363964946350163,3.656251248443429,5.24661086927453,21.24919121629595,0.0,0.0,0.980060544747023,-9.737393254470731e-12
971,12284677168.897722,0.9983624886052948,1.452554750405205,0.9371556920101963,3.6561902598225164,5.2470334998023365,21.249863431111475,0.0,0.0,0.9800605445160532,-9.782453009739985e-12
972,12284857418.921066,0.998360717038594,1.4538108135772254,0.9379032561676571,3.6561304935367906,5.247455712524128,21.250534967316067,0.0,3.6963064321582254e-44,0.980060544285878,-9.828385415846816e-12
973,12285036300.353537,0.9983589507899525,1.4551609890890445,0.9387077943216586,3.6560657683377453,5.24787410965718,21.25120033373729,0.0,0.0,0.9800605440571301,-9.873851170810729e-12
974,12285214177.438335,0.9983571857194302,1.4562885149243237,0.9393772201195316,3.656012936897629,5.2482926754733175,21.251865992191483,0.0,0.0,0.9800605438293504,-9.922978692079486e-12
975,12285391549.792076,0.9983554183566391,1.4574896481980737,0.9400912397799063,3.6559562103858783,5.248707276306398,21.25252515843559,0.0,0.0,0.9800605436019068,-9.964139020891308e-12
976,12285604396.61657,0.9983532881444019,1.4592194116729802,0.9411237221312632,3.655872410078927,5.24919895138108,21.25330651977325,0.0,0.0,0.9800605433285996,-1.0008193649917803e-11
